length,width,thickness,min_temp,max_temp,min_speed,max_speed,due_date,id
802.0,843.0,0.54,690.0,710.0,550.0,570.0,181.0,1.0
1579.0,1430.0,0.26,640.0,660.0,540.0,570.0,97.0,2.0
702.0,842.0,0.43,670.0,690.0,510.0,540.0,28.0,3.0
2146.0,763.0,0.3,650.0,670.0,520.0,540.0,234.0,4.0
2349.0,1033.0,0.24,710.0,730.0,530.0,550.0,5.0,5.0
1822.0,1342.0,0.59,700.0,720.0,500.0,520.0,36.0,6.0
1147.0,1273.0,0.51,680.0,700.0,550.0,580.0,115.0,7.0
1282.0,643.0,0.23,680.0,690.0,520.0,540.0,54.0,8.0
1536.0,1430.0,0.9,660.0,670.0,510.0,530.0,65.0,9.0
1366.0,908.0,0.22,700.0,710.0,550.0,580.0,127.0,10.0
